Cam,e,a,i,j,k,t 
0,4,10,2,1,1,52 
0,5,1,2,1,1,52 
0,5,2,2,1,1,52 
0,5,3,2,1,1,52 
0,5,4,2,1,1,52 
0,5,5,2,1,1,52 
0,5,6,2,1,1,52 
0,5,7,2,1,1,52 
0,5,8,2,1,1,52 
0,5,9,2,1,1,52 
0,5,10,2,1,1,52 
0,6,1,2,1,1,52 
0,6,2,2,1,1,52 
0,6,3,2,1,1,52 
0,6,4,2,1,1,52 
0,6,5,2,1,1,52 
0,6,6,2,1,1,52 
0,6,7,2,1,1,52 
0,6,8,2,1,1,52 
0,6,9,2,1,1,52 
0,6,10,2,1,1,52 
0,7,1,2,1,1,52 
0,7,2,2,1,1,52 
0,7,3,2,1,1,52 
0,7,4,2,1,1,52 
0,7,5,2,1,1,52 
0,7,6,2,1,1,52 
0,7,7,2,1,1,52 
0,7,8,2,1,1,52 
0,7,9,2,1,1,52 
0,7,10,2,1,1,52 
0,8,1,2,1,1,52 
0,8,2,2,1,1,52 
0,8,3,2,1,1,52 
0,8,4,2,1,1,52 
0,8,5,2,1,1,52 
0,8,6,2,1,1,52 
0,8,7,2,1,1,52 
0,8,8,2,1,1,52 
0,8,9,2,1,1,52 
0,8,10,2,1,1,52 
0,9,1,2,1,1,52 
0,9,2,2,1,1,52 
0,9,3,2,1,1,52 
0,9,4,2,1,1,52 
0,9,5,2,1,1,52 
0,9,6,2,1,1,52 
0,9,7,2,1,1,52 
0,9,8,2,1,1,52 
0,9,9,2,1,1,52 
0,9,10,2,1,1,52 
0,10,1,2,1,1,52 
0,10,2,2,1,1,52 
0,10,3,2,1,1,52 
0,10,4,2,1,1,52 
0,10,5,2,1,1,52 
0,10,6,2,1,1,52 
0,10,7,2,1,1,52 
0,10,8,2,1,1,52 
0,10,9,2,1,1,52 
0,10,10,2,1,1,52 
0,1,1,3,1,1,52 
0,1,2,3,1,1,52 
0,1,3,3,1,1,52 
0,1,4,3,1,1,52 
0,1,5,3,1,1,52 
0,1,6,3,1,1,52 
0,1,7,3,1,1,52 
0,1,8,3,1,1,52 
0,1,9,3,1,1,52 
0,1,10,3,1,1,52 
0,2,1,3,1,1,52 
0,2,2,3,1,1,52 
0,2,3,3,1,1,52 
0,2,4,3,1,1,52 
0,2,5,3,1,1,52 
0,2,6,3,1,1,52 
0,2,7,3,1,1,52 
0,2,8,3,1,1,52 
0,2,9,3,1,1,52 
0,2,10,3,1,1,52 
0,3,1,3,1,1,52 
0,3,2,3,1,1,52 
0,3,3,3,1,1,52 
0,3,4,3,1,1,52 
0,3,5,3,1,1,52 
0,3,6,3,1,1,52 
0,3,7,3,1,1,52 
0,3,8,3,1,1,52 
0,3,9,3,1,1,52 
0,3,10,3,1,1,52 
0,4,1,3,1,1,52 
0,4,2,3,1,1,52 
0,4,3,3,1,1,52 
0,4,4,3,1,1,52 
0,4,5,3,1,1,52 
0,4,6,3,1,1,52 
0,4,7,3,1,1,52 
0,4,8,3,1,1,52 
0,4,9,3,1,1,52 
0,4,10,3,1,1,52 
0,5,1,3,1,1,52 
0,5,2,3,1,1,52 
0,5,3,3,1,1,52 
0,5,4,3,1,1,52 
0,5,5,3,1,1,52 
0,5,6,3,1,1,52 
0,5,7,3,1,1,52 
0,5,8,3,1,1,52 
0,5,9,3,1,1,52 
0,5,10,3,1,1,52 
0,6,1,3,1,1,52 
0,6,2,3,1,1,52 
0,6,3,3,1,1,52 
0,6,4,3,1,1,52 
0,6,5,3,1,1,52 
0,6,6,3,1,1,52 
0,6,7,3,1,1,52 
0,6,8,3,1,1,52 
0,6,9,3,1,1,52 
0,6,10,3,1,1,52 
0,7,1,3,1,1,52 
0,7,2,3,1,1,52 
0,7,3,3,1,1,52 
0,7,4,3,1,1,52 
0,7,5,3,1,1,52 
0,7,6,3,1,1,52 
0,7,7,3,1,1,52 
0,7,8,3,1,1,52 
0,7,9,3,1,1,52 
0,7,10,3,1,1,52 
0,8,1,3,1,1,52 
0,8,2,3,1,1,52 
0,8,3,3,1,1,52 
0,8,4,3,1,1,52 
0,8,5,3,1,1,52 
0,8,6,3,1,1,52 
0,8,7,3,1,1,52 
0,8,8,3,1,1,52 
0,8,9,3,1,1,52 
0,8,10,3,1,1,52 
0,9,1,3,1,1,52 
0,9,2,3,1,1,52 
0,9,3,3,1,1,52 
0,9,4,3,1,1,52 
0,9,5,3,1,1,52 
0,9,6,3,1,1,52 
0,9,7,3,1,1,52 
0,9,8,3,1,1,52 
0,9,9,3,1,1,52 
0,9,10,3,1,1,52 
0,10,1,3,1,1,52 
0,10,2,3,1,1,52 
0,10,3,3,1,1,52 
0,10,4,3,1,1,52 
0,10,5,3,1,1,52 
0,10,6,3,1,1,52 
0,10,7,3,1,1,52 
0,10,8,3,1,1,52 
0,10,9,3,1,1,52 
0,10,10,3,1,1,52 
0,1,1,1,1,1,47 
0,1,2,1,1,1,47 
0,1,3,1,1,1,47 
0,1,4,1,1,1,47 
0,1,5,1,1,1,47 
0,1,6,1,1,1,47 
0,1,7,1,1,1,47 
0,1,8,1,1,1,47 
0,1,9,1,1,1,47 
0,1,10,1,1,1,47 
0,2,1,1,1,1,47 
0,2,2,1,1,1,47 
0,2,3,1,1,1,47 
0,2,4,1,1,1,47 
0,2,5,1,1,1,47 
0,2,6,1,1,1,47 
0,2,7,1,1,1,47 
0,2,8,1,1,1,47 
0,2,9,1,1,1,47 
0,2,10,1,1,1,47 
0,3,1,1,1,1,47 
0,3,2,1,1,1,47 
0,3,3,1,1,1,47 
0,3,4,1,1,1,47 
0,3,5,1,1,1,47 
0,3,6,1,1,1,47 
0,3,7,1,1,1,47 
0,3,8,1,1,1,47 
0,3,9,1,1,1,47 
0,3,10,1,1,1,47 
0,4,1,1,1,1,47 
0,4,2,1,1,1,47 
0,4,3,1,1,1,47 
0,4,4,1,1,1,47 
0,4,5,1,1,1,47 
0,4,6,1,1,1,47 
0,4,7,1,1,1,47 
0,4,8,1,1,1,47 
0,4,9,1,1,1,47 
0,4,10,1,1,1,47 
0,5,1,1,1,1,47 
0,5,2,1,1,1,47 
0,5,3,1,1,1,47 
0,5,4,1,1,1,47 
0,5,5,1,1,1,47 
0,5,6,1,1,1,47 
0,5,7,1,1,1,47 
0,5,8,1,1,1,47 
0,5,9,1,1,1,47 
0,5,10,1,1,1,47 
0,6,1,1,1,1,47 
0,6,2,1,1,1,47 
0,6,3,1,1,1,47 
0,6,4,1,1,1,47 
0,6,5,1,1,1,47 
0,6,6,1,1,1,47 
0,6,7,1,1,1,47 
0,6,8,1,1,1,47 
0,6,9,1,1,1,47 
0,6,10,1,1,1,47 
0,7,1,1,1,1,47 
0,7,2,1,1,1,47 
0,7,3,1,1,1,47 
0,7,4,1,1,1,47 
0,7,5,1,1,1,47 
0,7,6,1,1,1,47 
0,7,7,1,1,1,47 
0,7,8,1,1,1,47 
0,7,9,1,1,1,47 
0,7,10,1,1,1,47 
0,8,1,1,1,1,47 
0,8,2,1,1,1,47 
0,8,3,1,1,1,47 
0,8,4,1,1,1,47 
0,8,5,1,1,1,47 
0,8,6,1,1,1,47 
0,8,7,1,1,1,47 
0,8,8,1,1,1,47 
0,8,9,1,1,1,47 
0,8,10,1,1,1,47 
0,9,1,1,1,1,47 
0,9,2,1,1,1,47 
0,9,3,1,1,1,47 
0,9,4,1,1,1,47 
0,9,5,1,1,1,47 
0,9,6,1,1,1,47 
0,9,7,1,1,1,47 
0,9,8,1,1,1,47 
0,9,9,1,1,1,47 
0,9,10,1,1,1,47 
0,10,1,1,1,1,47 
0,10,2,1,1,1,47 
0,10,3,1,1,1,47 
0,10,4,1,1,1,47 
0,10,5,1,1,1,47 
0,10,6,1,1,1,47 
0,10,7,1,1,1,47 
0,10,8,1,1,1,47 
0,10,9,1,1,1,47 
0,10,10,1,1,1,47 
0,1,1,2,1,1,52 
0,1,2,2,1,1,52 
0,1,3,2,1,1,52 
0,1,4,2,1,1,52 
0,1,5,2,1,1,52 
0,1,6,2,1,1,52 
0,1,7,2,1,1,52 
0,1,8,2,1,1,52 
0,1,9,2,1,1,52 
0,1,10,2,1,1,52 
0,2,1,2,1,1,52 
0,2,2,2,1,1,52 
0,2,3,2,1,1,52 
0,2,4,2,1,1,52 
0,2,5,2,1,1,52 
0,2,6,2,1,1,52 
0,2,7,2,1,1,52 
0,2,8,2,1,1,52 
0,2,9,2,1,1,52 
0,2,10,2,1,1,52 
0,3,1,2,1,1,52 
0,3,2,2,1,1,52 
0,3,3,2,1,1,52 
0,3,4,2,1,1,52 
0,3,5,2,1,1,52 
0,3,6,2,1,1,52 
0,3,7,2,1,1,52 
0,3,8,2,1,1,52 
0,3,9,2,1,1,52 
0,3,10,2,1,1,52 
0,4,1,2,1,1,52 
0,4,2,2,1,1,52 
0,4,3,2,1,1,52 
0,4,4,2,1,1,52 
0,4,5,2,1,1,52 
0,4,6,2,1,1,52 
0,4,7,2,1,1,52 
0,4,8,2,1,1,52 
0,4,9,2,1,1,52 
0,4,10,2,1,1,52 
0,5,1,2,1,1,52 
0,5,2,2,1,1,52 
0,5,3,2,1,1,52 
0,5,4,2,1,1,52 
0,5,5,2,1,1,52 
0,5,6,2,1,1,52 
0,5,7,2,1,1,52 
0,5,8,2,1,1,52 
0,5,9,2,1,1,52 
0,5,10,2,1,1,52 
0,6,1,2,1,1,52 
0,6,2,2,1,1,52 
0,6,3,2,1,1,52 
0,6,4,2,1,1,52 
0,6,5,2,1,1,52 
0,6,6,2,1,1,52 
0,6,7,2,1,1,52 
0,6,8,2,1,1,52 
0,6,9,2,1,1,52 
0,6,10,2,1,1,52 
0,7,1,2,1,1,52 
0,7,2,2,1,1,52 
0,7,3,2,1,1,52 
0,7,4,2,1,1,52 
0,7,5,2,1,1,52 
0,7,6,2,1,1,52 
0,7,7,2,1,1,52 
0,7,8,2,1,1,52 
0,7,9,2,1,1,52 
0,7,10,2,1,1,52 
0,8,1,2,1,1,52 
0,8,2,2,1,1,52 
0,8,3,2,1,1,52 
0,8,4,2,1,1,52 
0,8,5,2,1,1,52 
0,8,6,2,1,1,52 
0,8,7,2,1,1,52 
0,8,8,2,1,1,52 
0,8,9,2,1,1,52 
0,8,10,2,1,1,52 
0,9,1,2,1,1,52 
0,9,2,2,1,1,52 
0,9,3,2,1,1,52 
0,9,4,2,1,1,52 
0,9,5,2,1,1,52 
0,9,6,2,1,1,52 
0,9,7,2,1,1,52 
0,9,8,2,1,1,52 
0,9,9,2,1,1,52 
0,9,10,2,1,1,52 
0,10,1,2,1,1,52 
0,10,2,2,1,1,52 
0,10,3,2,1,1,52 
0,10,4,2,1,1,52 
0,10,5,2,1,1,52 
0,10,6,2,1,1,52 
0,10,7,2,1,1,52 
0,10,8,2,1,1,52 
0,10,9,2,1,1,52 
0,10,10,2,1,1,52 
0,1,1,3,1,1,52 
0,1,2,3,1,1,52 
0,1,3,3,1,1,52 
0,1,4,3,1,1,52 
0,1,5,3,1,1,52 
0,1,6,3,1,1,52 
0,1,7,3,1,1,52 
0,1,8,3,1,1,52 
0,1,9,3,1,1,52 
0,1,10,3,1,1,52 
0,2,1,3,1,1,52 
0,2,2,3,1,1,52 
0,2,3,3,1,1,52 
0,2,4,3,1,1,52 
0,2,5,3,1,1,52 
0,2,6,3,1,1,52 
0,2,7,3,1,1,52 
0,2,8,3,1,1,52 
0,2,9,3,1,1,52 
0,2,10,3,1,1,52 
0,3,1,3,1,1,52 
0,3,2,3,1,1,52 
0,3,3,3,1,1,52 
0,3,4,3,1,1,52 
0,3,5,3,1,1,52 
0,3,6,3,1,1,52 
0,3,7,3,1,1,52 
0,3,8,3,1,1,52 
0,3,9,3,1,1,52 
0,3,10,3,1,1,52 
0,4,1,3,1,1,52 
0,4,2,3,1,1,52 
0,4,3,3,1,1,52 
0,4,4,3,1,1,52 
0,4,5,3,1,1,52 
0,4,6,3,1,1,52 
0,4,7,3,1,1,52 
0,4,8,3,1,1,52 
0,4,9,3,1,1,52 
0,4,10,3,1,1,52 
0,5,1,3,1,1,52 
0,5,2,3,1,1,52 
0,5,3,3,1,1,52 
0,5,4,3,1,1,52 
0,5,5,3,1,1,52 
0,5,6,3,1,1,52 
0,5,7,3,1,1,52 
0,5,8,3,1,1,52 
0,5,9,3,1,1,52 
0,5,10,3,1,1,52 
0,6,1,3,1,1,52 
0,6,2,3,1,1,52 
0,6,3,3,1,1,52 
0,6,4,3,1,1,52 
0,6,5,3,1,1,52 
0,6,6,3,1,1,52 
0,6,7,3,1,1,52 
0,6,8,3,1,1,52 
0,6,9,3,1,1,52 
0,6,10,3,1,1,52 
0,7,1,3,1,1,52 
0,7,2,3,1,1,52 
0,7,3,3,1,1,52 
0,7,4,3,1,1,52 
0,7,5,3,1,1,52 
0,7,6,3,1,1,52 
0,7,7,3,1,1,52 
0,7,8,3,1,1,52 
0,7,9,3,1,1,52 
0,7,10,3,1,1,52 
0,8,1,3,1,1,52 
0,8,2,3,1,1,52 
0,8,3,3,1,1,52 
0,8,4,3,1,1,52 
0,8,5,3,1,1,52 
0,8,6,3,1,1,52 
0,8,7,3,1,1,52 
0,8,8,3,1,1,52 
0,8,9,3,1,1,52 
0,8,10,3,1,1,52 
0,9,1,3,1,1,52 
0,9,2,3,1,1,52 
0,9,3,3,1,1,52 
0,9,4,3,1,1,52 
0,9,5,3,1,1,52 
0,9,6,3,1,1,52 
0,9,7,3,1,1,52 
0,9,8,3,1,1,52 
0,9,9,3,1,1,52 
0,9,10,3,1,1,52 
0,10,1,3,1,1,52 
0,10,2,3,1,1,52 
0,10,3,3,1,1,52 
0,10,4,3,1,1,52 
0,10,5,3,1,1,52 
0,10,6,3,1,1,52 
0,10,7,3,1,1,52 
0,10,8,3,1,1,52 
0,10,9,3,1,1,52 
0,10,10,3,1,1,52 
0,1,1,1,1,1,48 
0,1,2,1,1,1,48 
0,1,3,1,1,1,48 
0,1,4,1,1,1,48 
0,1,5,1,1,1,48 
0,1,6,1,1,1,48 
0,1,7,1,1,1,48 
0,1,8,1,1,1,48 
0,1,9,1,1,1,48 
0,1,10,1,1,1,48 
0,2,1,1,1,1,48 
0,2,2,1,1,1,48 
0,2,3,1,1,1,48 
0,2,4,1,1,1,48 
0,2,5,1,1,1,48 
0,2,6,1,1,1,48 
0,2,7,1,1,1,48 
0,2,8,1,1,1,48 
0,2,9,1,1,1,48 
0,2,10,1,1,1,48 
0,3,1,1,1,1,48 
0,3,2,1,1,1,48 
0,3,3,1,1,1,48 
0,3,4,1,1,1,48 
0,3,5,1,1,1,48 
0,3,6,1,1,1,48 
0,3,7,1,1,1,48 
0,3,8,1,1,1,48 
0,3,9,1,1,1,48 
0,3,10,1,1,1,48 
0,4,1,1,1,1,48 
0,4,2,1,1,1,48 
0,4,3,1,1,1,48 
0,4,4,1,1,1,48 
0,4,5,1,1,1,48 
0,4,6,1,1,1,48 
0,4,7,1,1,1,48 
0,4,8,1,1,1,48 
0,4,9,1,1,1,48 
0,4,10,1,1,1,48 
0,5,1,1,1,1,48 
0,5,2,1,1,1,48 
0,5,3,1,1,1,48 
0,5,4,1,1,1,48 
0,5,5,1,1,1,48 
0,5,6,1,1,1,48 
0,5,7,1,1,1,48 
0,5,8,1,1,1,48 
0,5,9,1,1,1,48 
0,5,10,1,1,1,48 
0,6,1,1,1,1,48 
0,6,2,1,1,1,48 
0,6,3,1,1,1,48 
0,6,4,1,1,1,48 
0,6,5,1,1,1,48 
0,6,6,1,1,1,48 
0,6,7,1,1,1,48 
0,6,8,1,1,1,48 
0,6,9,1,1,1,48 
0,6,10,1,1,1,48 
0,7,1,1,1,1,48 
0,7,2,1,1,1,48 
0,7,3,1,1,1,48 
0,7,4,1,1,1,48 
0,7,5,1,1,1,48 
0,7,6,1,1,1,48 
0,7,7,1,1,1,48 
0,7,8,1,1,1,48 
0,7,9,1,1,1,48 
0,7,10,1,1,1,48 
0,8,1,1,1,1,48 
0,8,2,1,1,1,48 
0,8,3,1,1,1,48 
0,8,4,1,1,1,48 
0,8,5,1,1,1,48 
0,8,6,1,1,1,48 
0,8,7,1,1,1,48 
0,8,8,1,1,1,48 
0,8,9,1,1,1,48 
0,8,10,1,1,1,48 
0,9,1,1,1,1,48 
0,9,2,1,1,1,48 
0,9,3,1,1,1,48 
0,9,4,1,1,1,48 
0,9,5,1,1,1,48 
0,9,6,1,1,1,48 
0,9,7,1,1,1,48 
0,9,8,1,1,1,48 
0,9,9,1,1,1,48 
0,9,10,1,1,1,48 
0,10,1,1,1,1,48 
0,10,2,1,1,1,48 
0,10,3,1,1,1,48 
0,10,4,1,1,1,48 
0,10,5,1,1,1,48 
0,10,6,1,1,1,48 
0,10,7,1,1,1,48 
0,10,8,1,1,1,48 
0,10,9,1,1,1,48 
0,10,10,1,1,1,48 
0,1,1,2,1,1,52 
0,1,2,2,1,1,52 
0,1,3,2,1,1,52 
0,1,4,2,1,1,52 
0,1,5,2,1,1,52 
0,1,6,2,1,1,52 
0,1,7,2,1,1,52 
0,1,8,2,1,1,52 
0,1,9,2,1,1,52 
0,1,10,2,1,1,52 
0,2,1,2,1,1,52 
0,2,2,2,1,1,52 
0,2,3,2,1,1,52 
0,2,4,2,1,1,52 
0,2,5,2,1,1,52 
0,2,6,2,1,1,52 
0,2,7,2,1,1,52 
0,2,8,2,1,1,52 
0,2,9,2,1,1,52 
0,2,10,2,1,1,52 
0,3,1,2,1,1,52 
0,3,2,2,1,1,52 
0,3,3,2,1,1,52 
0,3,4,2,1,1,52 
0,3,5,2,1,1,52 
0,3,6,2,1,1,52 
0,3,7,2,1,1,52 
0,3,8,2,1,1,52 
0,3,9,2,1,1,52 
0,3,10,2,1,1,52 
0,4,1,2,1,1,52 
0,4,2,2,1,1,52 
0,4,3,2,1,1,52 
0,4,4,2,1,1,52 
0,4,5,2,1,1,52 
0,4,6,2,1,1,52 
0,4,7,2,1,1,52 
0,4,8,2,1,1,52 
0,4,9,2,1,1,52 
0,4,10,2,1,1,52 
0,5,1,2,1,1,52 
0,5,2,2,1,1,52 
0,5,3,2,1,1,52 
0,5,4,2,1,1,52 
0,5,5,2,1,1,52 
0,5,6,2,1,1,52 
0,5,7,2,1,1,52 
0,5,8,2,1,1,52 
0,5,9,2,1,1,52 
0,5,10,2,1,1,52 
0,6,1,2,1,1,52 
0,6,2,2,1,1,52 
0,6,3,2,1,1,52 
0,6,4,2,1,1,52 
0,6,5,2,1,1,52 
0,6,6,2,1,1,52 
0,6,7,2,1,1,52 
0,6,8,2,1,1,52 
0,6,9,2,1,1,52 
0,6,10,2,1,1,52 
0,7,1,2,1,1,52 
0,7,2,2,1,1,52 
0,7,3,2,1,1,52 
0,7,4,2,1,1,52 
0,7,5,2,1,1,52 
0,7,6,2,1,1,52 
0,7,7,2,1,1,52 
0,7,8,2,1,1,52 
0,7,9,2,1,1,52 
0,7,10,2,1,1,52 
0,8,1,2,1,1,52 
0,8,2,2,1,1,52 
0,8,3,2,1,1,52 
0,8,4,2,1,1,52 
0,8,5,2,1,1,52 
0,8,6,2,1,1,52 
0,8,7,2,1,1,52 
0,8,8,2,1,1,52 
0,8,9,2,1,1,52 
0,8,10,2,1,1,52 
0,9,1,2,1,1,52 
0,9,2,2,1,1,52 
0,9,3,2,1,1,52 
0,9,4,2,1,1,52 
0,9,5,2,1,1,52 
0,9,6,2,1,1,52 
0,9,7,2,1,1,52 
0,9,8,2,1,1,52 
0,9,9,2,1,1,52 
0,9,10,2,1,1,52 
0,10,1,2,1,1,52 
0,10,2,2,1,1,52 
0,10,3,2,1,1,52 
0,10,4,2,1,1,52 
0,10,5,2,1,1,52 
0,10,6,2,1,1,52 
0,10,7,2,1,1,52 
0,10,8,2,1,1,52 
0,10,9,2,1,1,52 
0,10,10,2,1,1,52 
0,1,1,3,1,1,52 
0,1,2,3,1,1,52 
0,1,3,3,1,1,52 
0,1,4,3,1,1,52 
0,1,5,3,1,1,52 
0,1,6,3,1,1,52 
0,1,7,3,1,1,52 
0,1,8,3,1,1,52 
0,1,9,3,1,1,52 
0,1,10,3,1,1,52 
0,2,1,3,1,1,52 
0,2,2,3,1,1,52 
0,2,3,3,1,1,52 
0,2,4,3,1,1,52 
0,2,5,3,1,1,52 
0,2,6,3,1,1,52 
0,2,7,3,1,1,52 
0,2,8,3,1,1,52 
0,2,9,3,1,1,52 
0,2,10,3,1,1,52 
0,3,1,3,1,1,52 
0,3,2,3,1,1,52 
0,3,3,3,1,1,52 
0,3,4,3,1,1,52 
0,3,5,3,1,1,52 
0,3,6,3,1,1,52 
0,3,7,3,1,1,52 
0,3,8,3,1,1,52 
0,3,9,3,1,1,52 
0,3,10,3,1,1,52 
0,4,1,3,1,1,52 
0,4,2,3,1,1,52 
0,4,3,3,1,1,52 
0,4,4,3,1,1,52 
0,4,5,3,1,1,52 
0,4,6,3,1,1,52 
0,4,7,3,1,1,52 
0,4,8,3,1,1,52 
0,4,9,3,1,1,52 
0,4,10,3,1,1,52 
0,5,1,3,1,1,52 
0,5,2,3,1,1,52 
0,5,3,3,1,1,52 
0,5,4,3,1,1,52 
0,5,5,3,1,1,52 
0,5,6,3,1,1,52 
0,5,7,3,1,1,52 
0,5,8,3,1,1,52 
0,5,9,3,1,1,52 
0,5,10,3,1,1,52 
0,6,1,3,1,1,52 
0,6,2,3,1,1,52 
0,6,3,3,1,1,52 
0,6,4,3,1,1,52 
0,6,5,3,1,1,52 
0,6,6,3,1,1,52 
0,6,7,3,1,1,52 
0,6,8,3,1,1,52 
0,6,9,3,1,1,52 
0,6,10,3,1,1,52 
0,7,1,3,1,1,52 
0,7,2,3,1,1,52 
0,7,3,3,1,1,52 
0,7,4,3,1,1,52 
0,7,5,3,1,1,52 
0,7,6,3,1,1,52 
0,7,7,3,1,1,52 
0,7,8,3,1,1,52 
0,7,9,3,1,1,52 
0,7,10,3,1,1,52 
0,8,1,3,1,1,52 
0,8,2,3,1,1,52 
0,8,3,3,1,1,52 
0,8,4,3,1,1,52 
0,8,5,3,1,1,52 
0,8,6,3,1,1,52 
0,8,7,3,1,1,52 
0,8,8,3,1,1,52 
0,8,9,3,1,1,52 
0,8,10,3,1,1,52 
0,9,1,3,1,1,52 
0,9,2,3,1,1,52 
0,9,3,3,1,1,52 
0,9,4,3,1,1,52 
0,9,5,3,1,1,52 
0,9,6,3,1,1,52 
0,9,7,3,1,1,52 
0,9,8,3,1,1,52 
0,9,9,3,1,1,52 
0,9,10,3,1,1,52 
0,10,1,3,1,1,52 
0,10,2,3,1,1,52 
0,10,3,3,1,1,52 
0,10,4,3,1,1,52 
0,10,5,3,1,1,52 
0,10,6,3,1,1,52 
0,10,7,3,1,1,52 
0,10,8,3,1,1,52 
0,10,9,3,1,1,52 
0,10,10,3,1,1,52 
0,1,1,1,1,1,49 
0,1,2,1,1,1,49 
0,1,3,1,1,1,49 
0,1,4,1,1,1,49 
0,1,5,1,1,1,49 
0,1,6,1,1,1,49 
0,1,7,1,1,1,49 
0,1,8,1,1,1,49 
0,1,9,1,1,1,49 
0,1,10,1,1,1,49 
0,2,1,1,1,1,49 
1,2,2,1,1,1,49 
0,2,3,1,1,1,49 
0,2,4,1,1,1,49 
0,2,5,1,1,1,49 
0,2,6,1,1,1,49 
0,2,7,1,1,1,49 
0,2,8,1,1,1,49 
0,2,9,1,1,1,49 
0,2,10,1,1,1,49 
0,3,1,1,1,1,49 
0,3,2,1,1,1,49 
0,3,3,1,1,1,49 
0,3,4,1,1,1,49 
0,3,5,1,1,1,49 
0,3,6,1,1,1,49 
0,3,7,1,1,1,49 
0,3,8,1,1,1,49 
0,3,9,1,1,1,49 
0,3,10,1,1,1,49 
0,4,1,1,1,1,49 
0,4,2,1,1,1,49 
0,4,3,1,1,1,49 
0,4,4,1,1,1,49 
0,4,5,1,1,1,49 
0,4,6,1,1,1,49 
0,4,7,1,1,1,49 
0,4,8,1,1,1,49 
0,4,9,1,1,1,49 
0,4,10,1,1,1,49 
0,5,1,1,1,1,49 
0,5,2,1,1,1,49 
0,5,3,1,1,1,49 
0,5,4,1,1,1,49 
0,5,5,1,1,1,49 
0,5,6,1,1,1,49 
0,5,7,1,1,1,49 
0,5,8,1,1,1,49 
0,5,9,1,1,1,49 
0,5,10,1,1,1,49 
0,6,1,1,1,1,49 
0,6,2,1,1,1,49 
0,6,3,1,1,1,49 
0,6,4,1,1,1,49 
0,6,5,1,1,1,49 
0,6,6,1,1,1,49 
0,6,7,1,1,1,49 
0,6,8,1,1,1,49 
0,6,9,1,1,1,49 
0,6,10,1,1,1,49 
0,7,1,1,1,1,49 
0,7,2,1,1,1,49 
0,7,3,1,1,1,49 
0,7,4,1,1,1,49 
0,7,5,1,1,1,49 
0,7,6,1,1,1,49 
0,7,7,1,1,1,49 
0,7,8,1,1,1,49 
0,7,9,1,1,1,49 
0,7,10,1,1,1,49 
0,8,1,1,1,1,49 
0,8,2,1,1,1,49 
0,8,3,1,1,1,49 
0,8,4,1,1,1,49 
0,8,5,1,1,1,49 
0,8,6,1,1,1,49 
0,8,7,1,1,1,49 
0,8,8,1,1,1,49 
0,8,9,1,1,1,49 
0,8,10,1,1,1,49 
0,9,1,1,1,1,49 
0,9,2,1,1,1,49 
0,9,3,1,1,1,49 
0,9,4,1,1,1,49 
0,9,5,1,1,1,49 
0,9,6,1,1,1,49 
0,9,7,1,1,1,49 
0,9,8,1,1,1,49 
0,9,9,1,1,1,49 
0,9,10,1,1,1,49 
0,10,1,1,1,1,49 
0,10,2,1,1,1,49 
0,10,3,1,1,1,49 
0,10,4,1,1,1,49 
0,10,5,1,1,1,49 
0,10,6,1,1,1,49 
0,10,7,1,1,1,49 
0,10,8,1,1,1,49 
0,10,9,1,1,1,49 
0,10,10,1,1,1,49 
0,1,1,2,1,1,52 
0,1,2,2,1,1,52 
0,1,3,2,1,1,52 
0,1,4,2,1,1,52 
0,1,5,2,1,1,52 
0,1,6,2,1,1,52 
0,1,7,2,1,1,52 
0,1,8,2,1,1,52 
0,1,9,2,1,1,52 
0,1,10,2,1,1,52 
0,2,1,2,1,1,52 
0,2,2,2,1,1,52 
0,2,3,2,1,1,52 
0,2,4,2,1,1,52 
0,2,5,2,1,1,52 
0,2,6,2,1,1,52 
0,2,7,2,1,1,52 
0,2,8,2,1,1,52 
0,2,9,2,1,1,52 
0,2,10,2,1,1,52 
0,3,1,2,1,1,52 
0,3,2,2,1,1,52 
0,3,3,2,1,1,52 
0,3,4,2,1,1,52 
0,3,5,2,1,1,52 
0,3,6,2,1,1,52 
0,3,7,2,1,1,52 
0,3,8,2,1,1,52 
0,3,9,2,1,1,52 
0,3,10,2,1,1,52 
0,4,1,2,1,1,52 
0,4,2,2,1,1,52 
0,4,3,2,1,1,52 
0,4,4,2,1,1,52 
0,4,5,2,1,1,52 
0,4,6,2,1,1,52 
0,4,7,2,1,1,52 
0,4,8,2,1,1,52 
0,4,9,2,1,1,52 
0,4,10,2,1,1,52 
0,5,1,2,1,1,52 
0,5,2,2,1,1,52 
0,5,3,2,1,1,52 
0,5,4,2,1,1,52 
0,5,5,2,1,1,52 
0,5,6,2,1,1,52 
0,5,7,2,1,1,52 
0,5,8,2,1,1,52 
0,5,9,2,1,1,52 
0,5,10,2,1,1,52 
0,6,1,2,1,1,52 
0,6,2,2,1,1,52 
0,6,3,2,1,1,52 
0,6,4,2,1,1,52 
0,6,5,2,1,1,52 
0,6,6,2,1,1,52 
0,6,7,2,1,1,52 
0,6,8,2,1,1,52 
0,6,9,2,1,1,52 
0,6,10,2,1,1,52 
0,7,1,2,1,1,52 
0,7,2,2,1,1,52 
0,7,3,2,1,1,52 
0,7,4,2,1,1,52 
0,7,5,2,1,1,52 
0,7,6,2,1,1,52 
0,7,7,2,1,1,52 
0,7,8,2,1,1,52 
0,7,9,2,1,1,52 
0,7,10,2,1,1,52 
0,8,1,2,1,1,52 
